cust    first    last
00001    2    NA
00002    3    3
00003    3    3
00004    4    NA
00005    4    5
00006    2    2
00007    2    3
00008    2    2
00009    2    3
00010    2    2
00011    3    4
00012    1    2
00013    4    6
00014    3    NA
00015    1    4
00016    2    2
00017    4    4
00018    2    6
00019    3    6
00020    1    5
00021    1    1
00022    3    NA
00023    2    NA
00024    4    7
00025    4    5
00026    1    2
00027    1    NA
00028    1    1
00029    1    NA
00030    4    4
00031    4    4
00032    4    NA
00033    2    4
00034    1    5
00035    3    3
00036    1    3
00037    3    NA
00038    4    4
00039    3    8
00040    1    1
00041    1    1
00042    4    8
00043    1    NA
00044    2    5
00045    4    4
00046    1    NA
00047    4    4
00048    2    2
00049    2    3
00050    4    7
00051    3    3
00052    1    NA
00053    4    NA
00054    4    NA
00055    4    NA
00056    3    5
00057    2    5
00058    4    NA
00059    4    4
00060    2    NA
00061    3    NA
00062    1    NA
00063    1    5
00064    2    2
00065    2    8
00066    1    1
00067    3    4
00068    4    4
00069    4    5
00070    3    NA
00071    4    4
00072    3    3
00073    1    7
00074    3    NA
00075    2    3
00076    3    8
00077    4    4
00078    1    2
00079    2    NA
00080    3    6
00081    2    2
00082    1    1
00083    3    NA
00084    2    NA
00085    4    5
00086    4    4
00087    2    NA
00088    3    8
00089    4    6
00090    2    3
00091    2    5
00092    4    4
00093    4    NA
00094    1    1
00095    2    NA
00096    1    6
00097    3    3
00098    2    2
00099    3    6
00100    1    2
00101    2    7
00102    2    3
00103    4    NA
00104    1    6
00105    3    4
00106    3    6
00107    2    3
00108    1    1
00109    1    1
00110    3    NA
00111    3    3
00112    2    2
00113    4    4
00114    3    6
00115    1    2
00116    2    3
00117    4    4
00118    4    5
00119    3    NA
00120    3    3
00121    2    3
00122    2    8
00123    1    2
00124    1    4
00125    3    NA
00126    1    2
00127    4    NA
00128    2    3
00129    3    3
00130    1    4
00131    3    NA
00132    3    NA
00133    1    4
00134    4    NA
00135    2    NA
00136    4    5
00137    2    3
00138    3    3
00139    2    3
00140    2    3
00141    2    NA
00142    3    7
00143    4    6
00144    3    3
00145    4    8
00146    3    3
00147    4    4
00148    4    NA
00149    1    5
00150    4    NA
00151    4    4
00152    2    NA
00153    3    6
00154    1    2
00155    3    7
00156    2    2
00157    3    3
00158    2    NA
00159    3    3
00160    1    2
00161    3    NA
00162    3    4
00163    2    3
00164    2    3
00165    2    8
00166    3    NA
00167    2    2
00168    1    1
00169    2    NA
00170    4    NA
00171    3    3
00172    1    5
00173    1    NA
00174    4    NA
00175    1    1
00176    1    NA
00177    4    4
00178    3    NA
00179    3    4
00180    1    1
00181    4    5
00182    4    4
00183    1    4
00184    3    NA
00185    2    NA
00186    4    4
00187    3    NA
00188    4    NA
00189    4    6
00190    2    2
00191    2    4
00192    1    1
00193    1    1
00194    2    NA
00195    1    NA
00196    2    2
00197    2    2
00198    3    7
00199    3    4
00200    2    2
00201    4    4
00202    1    1
00203    4    5
00204    4    NA
00205    4    8
00206    1    NA
00207    2    6
00208    1    1
00209    2    2
00210    2    2
00211    1    1
00212    2    3
00213    2    2
00214    3    4
00215    2    4
00216    4    NA
00217    2    2
00218    3    3
00219    1    8
00220    4    5
00221    3    4
00222    1    3
00223    2    2
00224    1    4
00225    3    4
00226    2    5
00227    4    4
00228    4    NA
00229    3    NA
00230    3    3
00231    1    1
00232    2    5
00233    1    7
00234    1    NA
00235    2    4
00236    4    4
00237    1    NA
00238    4    5
